Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Sh,SoT,Fls,Fld,Off,Crs,Int,TklW,OG,SoT%,G/Sh,G/SoT,PPM,+/-90,On-Off,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Primary_Position,Secondary_Position,Is_Multi_Position,Position_Group,Eligible_450,Eligible_900,Eligible_1350,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,Sh_per90,SoT_per90,Fls_per90,Fld_per90,Off_per90,Crs_per90,Int_per90,TklW_per90,OG_per90
Álvaro Carreras,es ESP,DF,Real Madrid,es La Liga,22.0,2003.0,28,26,2332,25.9,2,3,5,2,0,0,5,1,9,3,22,33,5,30,38,18,0,33.3,0.22,0.67,2.25,1.27,0.53,,,,,,,,,,,,,,,DF,,False,Defender,True,True,True,0.07718696397941681,0.11578044596912522,0.19296740994854203,0.07718696397941681,0.0,0.0,0.19296740994854203,0.038593481989708404,0.34734133790737565,0.11578044596912522,0.8490566037735848,1.2735849056603774,0.19296740994854203,1.1578044596912522,1.4665523156089193,0.6946826758147513,0.0
Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,33.0,1992.0,17,10,977,10.9,0,1,1,0,0,0,0,0,5,1,7,9,0,11,6,12,0,20.0,0.0,0.0,2.35,0.92,-0.26,,,,,,,,,,,,,,,DF,,False,Defender,True,True,False,0.0,0.09211873080859775,0.09211873080859775,0.0,0.0,0.0,0.0,0.0,0.4605936540429888,0.09211873080859775,0.6448311156601843,0.8290685772773797,0.0,1.0133060388945752,0.5527123848515865,1.105424769703173,0.0
Cesare Casadei,it ITA,MF,Torino,it Serie A,22.0,2003.0,33,19,1997,22.2,6,0,6,6,0,0,5,0,35,17,52,16,2,4,9,16,0,48.6,0.17,0.35,1.18,-0.36,0.34,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,True,0.27040560841261896,0.0,0.27040560841261896,0.27040560841261896,0.0,0.0,0.2253380070105158,0.0,1.5773660490736103,0.7661492238357537,2.343515272909364,0.7210816224336504,0.0901352028042063,0.1802704056084126,0.40560841261892844,0.7210816224336504,0.0
Marc Casado,es ESP,MF,Barcelona,es La Liga,21.0,2003.0,24,10,989,11.0,0,1,1,0,0,0,1,0,11,0,25,20,0,1,7,9,0,0.0,0.0,,2.63,1.37,-0.26,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,False,0.0,0.0910010111223458,0.0910010111223458,0.0,0.0,0.0,0.0910010111223458,0.0,1.0010111223458038,0.0,2.275025278058645,1.820020222446916,0.0,0.0910010111223458,0.6370070778564206,0.8190091001011123,0.0
Casemiro,br BRA,MF,Manchester Utd,eng Premier League,33.0,1992.0,34,33,2571,28.6,9,2,11,9,0,0,11,1,52,18,46,36,5,19,30,45,0,34.6,0.17,0.5,1.97,0.84,1.37,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,True,0.31505250875145857,0.07001166861143523,0.38506417736289383,0.31505250875145857,0.0,0.0,0.38506417736289383,0.03500583430571762,1.8203033838973162,0.6301050175029171,1.6102683780630105,1.2602100350058343,0.1750291715285881,0.6651108518086348,1.0501750291715286,1.5752625437572927,0.0
Matty Cash,pl POL,DF,Aston Villa,eng Premier League,27.0,1997.0,35,34,3014,33.5,3,3,6,3,0,0,9,0,30,10,42,30,4,131,24,32,0,33.3,0.1,0.3,1.77,0.39,1.72,,,,,,,,,,,,,,,DF,,False,Defender,True,True,True,0.08958195089581952,0.08958195089581952,0.17916390179163905,0.08958195089581952,0.0,0.0,0.26874585268745854,0.0,0.8958195089581952,0.29860650298606506,1.254147312541473,0.8958195089581952,0.11944260119442601,3.9117451891174517,0.7166556071665562,0.9555408095554081,0.0
Josué Casimir,ht HAI,"MF,FW",Auxerre,fr Ligue 1,23.0,2001.0,31,16,1522,16.9,1,0,1,1,0,1,6,1,22,12,34,32,3,54,11,17,0,54.5,0.05,0.08,0.97,-0.71,-0.83,,,,,,,,,,,,,,,MF,FW,True,Midfielder,True,True,True,0.05913272010512484,0.0,0.05913272010512484,0.05913272010512484,0.0,0.05913272010512484,0.354796320630749,0.05913272010512484,1.3009198423127464,0.709592641261498,2.0105124835742445,1.8922470433639949,0.1773981603153745,3.1931668856767415,0.6504599211563732,1.0052562417871223,0.0
Cristian Cásseres Jr.,ve VEN,MF,Toulouse,fr Ligue 1,25.0,2000.0,31,29,2585,28.7,2,3,5,2,0,1,6,0,26,6,40,43,1,99,37,43,0,23.1,0.08,0.33,1.23,-0.1,-0.86,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,True,0.06963249516441006,0.10444874274661509,0.17408123791102514,0.06963249516441006,0.0,0.03481624758220503,0.20889748549323017,0.0,0.9052224371373307,0.20889748549323017,1.3926499032882012,1.4970986460348163,0.03481624758220503,3.4468085106382977,1.288201160541586,1.4970986460348163,0.0
Timothy Castagne,be BEL,"DF,MF",Fulham,eng Premier League,29.0,1995.0,30,20,1845,20.5,0,0,0,0,0,0,4,0,14,6,18,11,1,48,28,24,0,42.9,0.0,0.0,1.2,-0.34,-0.51,,,,,,,,,,,,,,,DF,MF,True,Defender,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.1951219512195122,0.0,0.6829268292682927,0.2926829268292683,0.8780487804878049,0.5365853658536586,0.04878048780487805,2.341463414634146,1.3658536585365855,1.170731707317073,0.0
Valentín Castellanos,ar ARG,FW,West Ham United,eng Premier League,26.0,1998.0,18,17,1384,15.4,6,0,6,6,0,0,6,0,50,22,32,16,9,9,6,9,0,44.0,0.12,0.27,1.39,0.33,1.39,,,,,,,,,,,,,,,FW,,False,Forward,True,True,True,0.3901734104046242,0.0,0.3901734104046242,0.3901734104046242,0.0,0.0,0.3901734104046242,0.0,3.2514450867052025,1.4306358381502888,2.0809248554913293,1.0404624277456647,0.5852601156069365,0.5852601156069365,0.3901734104046242,0.5852601156069365,0.0
Castrin,es ESP,DF,Sevilla,es La Liga,22.0,2003.0,19,13,1277,14.2,1,0,1,1,0,0,4,0,11,3,13,13,1,1,22,15,0,27.3,0.09,0.33,1.21,0.28,1.04,,,,,,,,,,,,,,,DF,,False,Defender,True,True,False,0.07047768206734534,0.0,0.07047768206734534,0.07047768206734534,0.0,0.0,0.28191072826938135,0.0,0.7752545027407988,0.21143304620203604,0.9162098668754894,0.9162098668754894,0.07047768206734534,0.07047768206734534,1.5505090054815975,1.0571652310101802,0.0
Jonny Castro,es ESP,DF,Alavés,es La Liga,31.0,1994.0,34,34,2994,33.3,0,0,0,0,0,0,7,0,9,3,37,30,1,23,40,41,0,33.3,0.0,0.0,1.06,-0.39,-0.6,,,,,,,,,,,,,,,DF,,False,Defender,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.21042084168336672,0.0,0.27054108216432865,0.09018036072144288,1.1122244488977955,0.9018036072144289,0.030060120240480964,0.691382765531062,1.2024048096192386,1.2324649298597194,0.0
Santiago Castro,ar ARG,FW,Bologna,it Serie A,20.0,2004.0,35,26,2359,26.2,7,2,9,7,0,0,3,0,63,20,35,50,12,4,1,8,0,31.7,0.11,0.35,1.43,0.0,-0.25,,,,,,,,,,,,,,,FW,,False,Forward,True,True,True,0.26706231454005935,0.07630351844001695,0.3433658329800763,0.26706231454005935,0.0,0.0,0.11445527766002545,0.0,2.403560830860534,0.7630351844001695,1.3353115727002969,1.9075879610004238,0.4578211106401018,0.1526070368800339,0.03815175922000848,0.3052140737600678,0.0
Danilo Cataldi,it ITA,MF,Lazio,it Serie A,30.0,1994.0,27,24,1985,22.1,3,3,6,1,2,2,6,0,26,7,22,12,0,48,21,22,0,26.9,0.04,0.14,1.37,-0.09,-0.28,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,True,0.13602015113350124,0.13602015113350124,0.2720403022670025,0.04534005037783375,0.0906801007556675,0.0906801007556675,0.2720403022670025,0.0,1.1788413098236776,0.31738035264483627,0.9974811083123425,0.544080604534005,0.0,2.17632241813602,0.9521410579345089,0.9974811083123425,0.0
Catena,es ESP,DF,Osasuna,es La Liga,30.0,1994.0,35,35,3071,34.1,3,2,5,3,0,0,11,1,19,4,46,14,3,1,32,29,0,21.1,0.16,0.75,1.09,-0.23,-0.75,,,,,,,,,,,,,,,DF,,False,Defender,True,True,True,0.08791924454575058,0.05861282969716705,0.14653207424291761,0.08791924454575058,0.0,0.0,0.32237056333441877,0.029306414848583526,0.5568218821230869,0.1172256593943341,1.348095083034842,0.41028980788016933,0.08791924454575058,0.029306414848583526,0.9378052751546728,0.8498860306089222,0.0
