Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Sh,SoT,Fls,Fld,Off,Crs,Int,TklW,OG,SoT%,G/Sh,G/SoT,PPM,+/-90,On-Off,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Primary_Position,Secondary_Position,Is_Multi_Position,Position_Group,Eligible_450,Eligible_900,Eligible_1350,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,Sh_per90,SoT_per90,Fls_per90,Fld_per90,Off_per90,Crs_per90,Int_per90,TklW_per90,OG_per90
Janis Blaswich,de GER,GK,Leverkusen,de Bundesliga,34.0,1991.0,11,10,931,10.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,1.73,0.77,0.22,9.0,0.87,50.0,41.0,82.0,5.0,4.0,1.0,3.0,30.0,0.0,0.0,0.0,0.0,GK,,False,Goalkeeper,True,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.09667024704618689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean Butez,fr FRA,GK,Como,it Serie A,30.0,1995.0,38,38,3420,38.0,0,1,1,0,0,0,3,0,0,0,0,9,0,0,0,2,0,,,,1.87,0.95,,29.0,0.76,110.0,86.0,78.2,20.0,11.0,7.0,19.0,50.0,6.0,5.0,1.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.026315789473684213,0.026315789473684213,0.0,0.0,0.0,0.07894736842105263,0.0,0.0,0.0,0.0,0.23684210526315788,0.0,0.0,0.0,0.052631578947368425,0.0
Elia Caprile,it ITA,GK,Cagliari,it Serie A,23.0,2001.0,38,38,3420,38.0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,,,,1.13,-0.34,,53.0,1.39,173.0,121.0,70.5,11.0,10.0,17.0,8.0,21.1,2.0,2.0,0.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.052631578947368425,0.0,0.0,0.0,0.0,0.2105263157894737,0.0,0.0,0.0,0.0,0.0
Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,25.0,2000.0,37,37,3330,37.0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,,,,1.57,0.41,0.41,35.0,0.95,144.0,112.0,77.1,15.0,13.0,9.0,13.0,35.1,4.0,2.0,2.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027027027027027025,0.16216216216216217,0.0,0.027027027027027025,0.0,0.0,0.0
Lucas Chevalier,fr FRA,GK,Paris Saint-Germain,fr Ligue 1,23.0,2001.0,17,17,1530,17.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,2.29,1.18,-0.29,13.0,0.76,43.0,32.0,72.1,12.0,3.0,2.0,9.0,52.9,3.0,1.0,1.0,1.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0
Edoardo Corvi,it ITA,GK,Parma,it Serie A,24.0,2001.0,17,17,1530,17.0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,,,,1.65,-0.24,0.43,18.0,1.06,60.0,44.0,75.0,8.0,4.0,5.0,7.0,41.2,3.0,3.0,0.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.29411764705882354,0.0,0.0,0.0,0.0,0.0
Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,26.0,1999.0,25,24,2192,24.4,0,0,0,0,0,0,2,0,0,0,1,8,0,0,0,0,0,,,,1.28,-0.25,0.38,40.0,1.64,112.0,76.0,67.0,9.0,5.0,10.0,6.0,25.0,4.0,3.0,1.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.08211678832116788,0.0,0.0,0.0,0.04105839416058394,0.3284671532846715,0.0,0.0,0.0,0.0,0.0
Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,33.0,1992.0,32,32,2880,32.0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,,,,2.34,1.22,0.72,28.0,0.87,94.0,70.0,74.5,24.0,3.0,5.0,13.0,40.6,4.0,4.0,0.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.03125,0.0625,0.0,0.0,0.0,0.03125,0.0
Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,27.0,1998.0,34,34,3060,34.0,0,0,0,0,0,0,1,0,1,0,0,9,0,0,0,0,0,0.0,0.0,,1.26,-0.47,,61.0,1.79,159.0,105.0,65.4,12.0,7.0,15.0,5.0,14.7,7.0,6.0,1.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.029411764705882353,0.0,0.0,0.2647058823529412,0.0,0.0,0.0,0.0,0.0
Karl Darlow,wls WAL,GK,Leeds United,eng Premier League,34.0,1990.0,22,22,1980,22.0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,,,,1.32,-0.05,0.33,27.0,1.23,88.0,63.0,71.6,7.0,8.0,7.0,5.0,22.7,2.0,2.0,0.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.3181818181818182,0.0,0.0,0.0,0.0,0.0
