Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Fls,Fld,Off,Crs,Int,TklW,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Primary_Position,Secondary_Position,Is_Multi_Position,Position_Group,Eligible_450,Eligible_900,Eligible_1350,Gls_per90_calc,Ast_per90_calc,G-PK_per90_calc,CrdY_per90_calc,CrdR_per90_calc,Sh_per90_calc,SoT_per90_calc,Fls_per90_calc,Fld_per90_calc,Off_per90_calc,Crs_per90_calc,Int_per90_calc,TklW_per90_calc,OG_per90_calc
Robin Risser,fr FRA,GK,Lens,fr Ligue 1,20.0,2004.0,33,33,2970,33.0,0,1,1,0,0,0,2,0,0.03,0,0,,0.0,0.0,,,90,97.1,90.0,33,0,,1,2.03,62,35,27,0.82,-3.18,0,5,0,0,0,0,0,35.0,1.06,106.0,76.0,69.8,21.0,4.0,8.0,11.0,33.3,6.0,3.0,2.0,1.0,GK,,False,Goalkeeper,True,True,True,0.0,0.030303030303030304,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.15151515151515152,0.0,0.0,0.0,0.0,0.0
Robin Roefs,nl NED,GK,Sunderland,eng Premier League,22.0,2003.0,35,35,3150,35.0,0,0,0,0,0,0,4,0,0.0,0,0,,0.0,0.0,,,90,92.1,90.0,35,0,,0,1.37,39,46,-7,-0.2,-0.53,0,14,0,0,0,0,0,46.0,1.31,151.0,108.0,70.9,12.0,12.0,11.0,10.0,28.6,3.0,2.0,1.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.11428571428571428,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
Leo Román,es ESP,GK,Mallorca,es La Liga,25.0,2000.0,33,33,2970,33.0,0,0,0,0,0,0,4,0,0.0,0,0,,0.0,0.0,,,90,86.8,90.0,33,0,,0,1.12,43,50,-7,-0.21,0.39,1,2,0,0,1,1,0,50.0,1.52,142.0,99.0,69.0,10.0,7.0,16.0,4.0,12.1,8.0,6.0,1.0,1.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.12121212121212122,0.0,0.0,0.0,0.030303030303030304,0.06060606060606061,0.0,0.0,0.030303030303030304,0.030303030303030304,0.0
Gerónimo Rulli,ar ARG,GK,Marseille,fr Ligue 1,33.0,1992.0,29,29,2610,29.0,0,0,0,0,0,0,3,0,0.0,1,0,0.0,0.03,0.0,0.0,,90,85.3,90.0,29,0,,3,1.77,53,35,18,0.62,0.62,1,14,0,0,0,0,0,34.0,1.17,105.0,76.0,72.4,15.0,5.0,9.0,8.0,27.6,6.0,5.0,0.0,1.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.10344827586206896,0.0,0.034482758620689655,0.0,0.034482758620689655,0.48275862068965514,0.0,0.0,0.0,0.0,0.0
Mathew Ryan,au AUS,GK,Levante,es La Liga,33.0,1992.0,36,36,3240,36.0,0,0,0,0,0,0,4,0,0.0,2,0,0.0,0.06,0.0,0.0,,90,94.7,90.0,36,0,,0,1.17,44,56,-12,-0.33,0.67,0,1,0,0,1,1,0,56.0,1.56,176.0,124.0,69.9,11.0,9.0,16.0,9.0,25.0,4.0,3.0,1.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.1111111111111111,0.0,0.05555555555555555,0.0,0.0,0.027777777777777776,0.0,0.0,0.027777777777777776,0.027777777777777776,0.0
Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,32.0,1992.0,30,30,2640,29.3,0,0,0,0,0,0,2,0,0.0,0,0,,0.0,0.0,,,88,86.3,88.0,29,0,,0,0.97,33,54,-21,-0.72,-2.22,1,3,0,0,1,1,0,54.0,1.84,125.0,75.0,61.6,7.0,8.0,15.0,5.0,16.7,6.0,6.0,0.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.06818181818181818,0.0,0.0,0.0,0.03409090909090909,0.10227272727272727,0.0,0.0,0.03409090909090909,0.03409090909090909,0.0
José Sá,pt POR,GK,Wolves,eng Premier League,32.0,1993.0,23,23,2070,23.0,0,0,0,0,0,0,2,0,0.0,0,0,,0.0,0.0,,,90,60.5,90.0,23,0,,11,0.74,20,37,-17,-0.74,0.86,0,6,0,0,0,0,0,37.0,1.61,99.0,65.0,65.7,3.0,8.0,12.0,4.0,17.4,3.0,3.0,0.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.2608695652173913,0.0,0.0,0.0,0.0,0.0
Matvei Safonov,ru RUS,GK,Paris Saint-Germain,fr Ligue 1,26.0,1999.0,15,15,1350,15.0,0,0,0,0,0,0,0,0,0.0,0,0,,0.0,0.0,,,90,44.1,90.0,15,0,,15,2.2,38,14,24,1.6,0.49,0,1,0,0,0,0,0,14.0,0.93,53.0,40.0,73.6,11.0,0.0,4.0,8.0,53.3,1.0,0.0,1.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
Brice Samba,fr FRA,GK,Rennes,fr Ligue 1,31.0,1994.0,32,32,2880,32.0,0,0,0,0,0,0,5,0,0.0,0,0,,0.0,0.0,,,90,94.1,90.0,32,0,,0,1.84,57,44,13,0.41,2.41,1,7,0,0,0,1,0,44.0,1.37,123.0,84.0,67.5,17.0,8.0,7.0,10.0,31.3,6.0,4.0,2.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.15625,0.0,0.0,0.0,0.03125,0.21875,0.0,0.0,0.0,0.03125,0.0
Robert Sánchez,es ESP,GK,Chelsea,eng Premier League,27.0,1997.0,35,35,3039,33.8,0,1,1,0,0,0,3,1,0.03,0,0,,0.0,0.0,,,87,88.9,87.0,33,0,,1,1.34,50,47,3,0.09,-0.62,2,13,0,0,1,0,0,49.0,1.45,145.0,97.0,67.6,13.0,8.0,14.0,9.0,25.7,2.0,2.0,0.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.029615004935834157,0.0,0.08884501480750247,0.029615004935834157,0.0,0.0,0.059230009871668314,0.384995064165844,0.0,0.0,0.029615004935834157,0.0,0.0
